Date,Adj Close,Day
2018-05-08,217.942413,"1,688"
2018-05-09,219.715195,"1,689"
2018-05-10,221.559586,"1,690"
2018-05-11,222.526505,"1,691"
2018-05-14,223.180145,"1,694"
2018-05-15,221.425278,"1,695"
2018-05-16,222.016235,"1,696"
2018-05-17,221.810333,"1,697"
2018-05-18,221.771698,"1,698"
2018-05-21,224.411362,"1,701"
2018-05-22,222.831146,"1,702"
2018-05-23,223.235184,"1,703"
2018-05-24,222.588699,"1,704"
2018-05-25,222.103912,"1,705"
2018-05-29,218.584213,"1,709"
2018-05-30,221.502335,"1,710"
2018-05-31,219.239716,"1,711"
2018-06-01,221.197052,"1,712"
2018-06-04,222.849075,"1,715"
2018-06-05,222.804214,"1,716"
2018-06-06,225.830002,"1,717"
2018-06-07,226.736908,"1,718"
2018-06-08,227.401306,"1,719"
2018-06-11,227.509003,"1,722"
2018-06-12,227.428177,"1,723"
2018-06-13,226.422638,"1,724"
2018-06-14,226.251999,"1,725"
2018-06-15,225.46611,"1,726"
2018-06-18,224.557938,"1,729"
2018-06-19,221.995239,"1,730"
2018-06-20,221.617538,"1,731"
2018-06-21,219.855133,"1,732"
2018-06-22,220.925064,"1,733"
2018-06-25,217.885803,"1,736"
2018-06-26,218.209549,"1,737"
2018-06-27,216.815735,"1,738"
2018-06-28,217.679047,"1,739"
2018-06-29,218.263535,"1,740"
2018-07-02,218.263535,"1,743"
2018-07-03,217.3013,"1,744"
2018-07-05,219.000778,"1,746"
2018-07-06,219.944992,"1,747"
2018-07-09,222.858429,"1,750"
2018-07-10,224.108322,"1,751"
2018-07-11,222.175049,"1,752"
2018-07-12,224.171249,"1,753"
2018-07-13,224.980545,"1,754"
2018-07-16,225.403137,"1,757"
2018-07-17,225.951736,"1,758"
2018-07-18,226.626053,"1,759"
2018-07-19,225.511032,"1,760"
2018-07-20,225.482239,"1,761"
2018-07-23,225.320206,"1,764"
2018-07-24,227.075882,"1,765"
2018-07-25,228.70549,"1,766"
2018-07-26,229.695877,"1,767"
2018-07-27,228.92157,"1,768"
2018-07-30,227.67012,"1,771"
2018-07-31,228.840515,"1,772"
2018-08-01,227.886185,"1,773"
2018-08-02,227.877151,"1,774"
2018-08-03,229.038635,"1,775"
2018-08-06,229.452789,"1,778"
2018-08-07,230.596176,"1,779"
2018-08-08,230.146042,"1,780"
2018-08-09,229.731903,"1,781"
2018-08-10,228.057251,"1,782"
2018-08-13,226.922729,"1,785"
2018-08-14,227.976212,"1,786"
2018-08-15,226.670685,"1,787"
2018-08-16,230.434143,"1,788"
2018-08-17,231.433823,"1,789"
2018-08-20,232.263901,"1,792"
2018-08-21,232.841293,"1,793"
2018-08-22,232.038345,"1,794"
2018-08-23,231.415756,"1,795"
2018-08-24,232.642792,"1,796"
2018-08-27,235.105927,"1,799"
2018-08-28,235.16008,"1,800"
2018-08-29,235.782578,"1,801"
2018-08-30,234.591705,"1,802"
2018-08-31,234.447388,"1,803"
2018-09-04,234.339081,"1,807"
2018-09-05,234.510483,"1,808"
2018-09-06,234.84433,"1,809"
2018-09-07,234.167648,"1,810"
2018-09-10,233.626297,"1,813"
2018-09-11,234.60968,"1,814"
2018-09-12,234.808228,"1,815"
2018-09-13,236.18866,"1,816"
2018-09-14,236.287827,"1,817"
2018-09-17,235.466888,"1,820"
2018-09-18,237.208176,"1,821"
2018-09-19,238.570557,"1,822"
2018-09-20,240.934433,"1,823"
2018-09-21,241.500412,"1,824"
2018-09-24,239.963501,"1,827"
2018-09-25,239.339615,"1,828"
2018-09-26,238.480713,"1,829"
2018-09-27,238.905594,"1,830"
2018-09-28,239.041229,"1,831"
2018-10-01,241.147858,"1,834"
2018-10-02,241.907211,"1,835"
2018-10-03,242.250778,"1,836"
2018-10-04,240.71376,"1,837"
2018-10-05,238.968979,"1,838"
2018-10-08,239.430023,"1,841"
